Rank,Library,Geometric Mean (s),Std Dev,Coefficient of Variation,Measurements,Performance Status
1,sklearn,0.000014,0.000004,0.2474,4,🟡 Variable
2,lightgbm,0.000022,0.000007,0.3009,4,🔴 Unstable
3,bisect_std,0.000026,0.000005,0.1999,4,🟡 Variable
4,heapq_std,0.000027,0.000002,0.0562,4,🟢 Stable
5,functools_std,0.000033,0.000009,0.2639,4,🟡 Variable
6,networkx,0.000082,0.000027,0.3305,4,🔴 Unstable
7,statsmodels,0.000138,0.000012,0.0849,4,🟢 Stable
8,sympy,0.000147,0.009965,67.6333,4,🔴 Unstable
9,toml,0.000169,0.000011,0.0646,4,🟢 Stable
10,msgpack,0.000268,0.000423,1.5774,4,🔴 Unstable
11,pickle_std,0.000286,0.000213,0.7437,4,🔴 Unstable
12,orjson,0.000375,0.000367,0.9799,4,🔴 Unstable
13,scipy,0.000635,0.000109,0.1716,4,🟡 Variable
14,ujson,0.001357,0.000273,0.2010,4,🟡 Variable
15,optuna,0.001534,0.000266,0.1736,4,🟡 Variable
16,json_std,0.001677,0.000261,0.1557,4,🟡 Variable
17,yaml,0.001790,0.000093,0.0517,4,🟢 Stable
18,csv_std,0.002084,0.000272,0.1308,4,🟡 Variable
19,duckdb,0.003573,0.000566,0.1585,4,🟡 Variable
20,xarray,0.004388,0.004907,1.1183,4,🔴 Unstable
21,tensorflow,0.015558,0.028734,1.8468,4,🔴 Unstable
22,collections_std,0.019665,0.062742,3.1906,4,🔴 Unstable
23,pymongo,0.029693,0.000000,0.0000,4,🟢 Stable
24,numba,0.040215,0.111503,2.7727,4,🔴 Unstable
25,torch,0.053079,0.167710,3.1596,4,🔴 Unstable
26,numpy,0.053517,0.163189,3.0493,4,🔴 Unstable
27,psycopg2,0.056535,0.000000,0.0000,4,🟢 Stable
28,clickhouse,0.064866,0.000000,0.0000,4,🟢 Stable
29,dask,0.066715,0.202366,3.0333,4,🔴 Unstable
30,pyarrow,0.067482,0.211506,3.1343,4,🔴 Unstable
31,h5py,0.068732,0.206064,2.9981,4,🔴 Unstable
32,redis,0.071468,0.000000,0.0000,4,🟢 Stable
33,cython,0.083973,0.000000,0.0000,4,🟢 Stable
34,protobuf,0.086992,0.000000,0.0000,4,🟢 Stable
35,avro,0.090138,0.000000,0.0000,4,🟢 Stable
36,operator_std,0.157664,0.682653,4.3298,4,🔴 Unstable
37,pandas,0.382755,1.157624,3.0245,4,🔴 Unstable
38,sqlite3_std,0.715632,2.336004,3.2643,4,🔴 Unstable
39,itertools_std,0.979483,5.501304,5.6165,4,🔴 Unstable
40,sqlalchemy,2.382881,8.577967,3.5998,4,🔴 Unstable
41,jax,2.432428,6.640982,2.7302,4,🔴 Unstable
42,modin,13.240602,31.265886,2.3614,4,🔴 Unstable
