Library,Operation,Data Size,Mean Time (s),Median Time (s),Std Dev (s),Min Time (s),Max Time (s),Memory Peak (MB),Memory Mean (MB),CPU Utilization (%)
avro,aggregate,"100,000",0.017966,0.017966,0.000000,0.017966,0.017966,0.00,0.00,0.00
avro,aggregate,"500,000",0.017966,0.017966,0.000000,0.017966,0.017966,0.00,0.00,0.00
avro,aggregate,"1,000,000",0.017966,0.017966,0.000000,0.017966,0.017966,0.00,0.00,0.00
avro,aggregate,"5,000,000",0.017966,0.017966,0.000000,0.017966,0.017966,0.00,0.00,0.00
avro,create,"100,000",0.090138,0.090138,0.000000,0.090138,0.090138,0.00,0.00,0.00
avro,create,"500,000",0.090138,0.090138,0.000000,0.090138,0.090138,0.00,0.00,0.00
avro,create,"1,000,000",0.090138,0.090138,0.000000,0.090138,0.090138,0.00,0.00,0.00
avro,create,"5,000,000",0.090138,0.090138,0.000000,0.090138,0.090138,0.00,0.00,0.00
avro,filter,"100,000",0.003334,0.003334,0.000000,0.003334,0.003334,0.00,0.00,0.00
avro,filter,"500,000",0.003334,0.003334,0.000000,0.003334,0.003334,0.00,0.00,0.00
avro,filter,"1,000,000",0.003334,0.003334,0.000000,0.003334,0.003334,0.00,0.00,0.00
avro,filter,"5,000,000",0.003334,0.003334,0.000000,0.003334,0.003334,0.00,0.00,0.00
avro,join,"100,000",0.032998,0.032998,0.000000,0.032998,0.032998,0.00,0.00,0.00
avro,join,"500,000",0.032998,0.032998,0.000000,0.032998,0.032998,0.00,0.00,0.00
avro,join,"1,000,000",0.032998,0.032998,0.000000,0.032998,0.032998,0.00,0.00,0.00
avro,join,"5,000,000",0.032998,0.032998,0.000000,0.032998,0.032998,0.00,0.00,0.00
avro,sort,"100,000",0.036177,0.036177,0.000000,0.036177,0.036177,0.00,0.00,0.00
avro,sort,"500,000",0.036177,0.036177,0.000000,0.036177,0.036177,0.00,0.00,0.00
avro,sort,"1,000,000",0.036177,0.036177,0.000000,0.036177,0.036177,0.00,0.00,0.00
avro,sort,"5,000,000",0.036177,0.036177,0.000000,0.036177,0.036177,0.00,0.00,0.00
bisect_std,create,"100,000",0.000034,0.000034,0.000000,0.000034,0.000034,0.00,0.00,0.00
bisect_std,create,"500,000",0.000023,0.000023,0.000000,0.000023,0.000023,0.00,0.00,0.00
bisect_std,create,"1,000,000",0.000023,0.000023,0.000000,0.000023,0.000023,0.00,0.00,0.00
bisect_std,create,"5,000,000",0.000025,0.000025,0.000000,0.000025,0.000025,0.00,0.00,0.00
clickhouse,aggregate,"100,000",0.024085,0.024085,0.000000,0.024085,0.024085,0.00,0.00,0.00
clickhouse,aggregate,"500,000",0.024085,0.024085,0.000000,0.024085,0.024085,0.00,0.00,0.00
clickhouse,aggregate,"1,000,000",0.024085,0.024085,0.000000,0.024085,0.024085,0.00,0.00,0.00
clickhouse,aggregate,"5,000,000",0.024085,0.024085,0.000000,0.024085,0.024085,0.00,0.00,0.00
clickhouse,create,"100,000",0.064866,0.064866,0.000000,0.064866,0.064866,0.00,0.00,0.00
clickhouse,create,"500,000",0.064866,0.064866,0.000000,0.064866,0.064866,0.00,0.00,0.00
clickhouse,create,"1,000,000",0.064866,0.064866,0.000000,0.064866,0.064866,0.00,0.00,0.00
clickhouse,create,"5,000,000",0.064866,0.064866,0.000000,0.064866,0.064866,0.00,0.00,0.00
clickhouse,filter,"100,000",0.012082,0.012082,0.000000,0.012082,0.012082,0.00,0.00,0.00
clickhouse,filter,"500,000",0.012082,0.012082,0.000000,0.012082,0.012082,0.00,0.00,0.00
clickhouse,filter,"1,000,000",0.012082,0.012082,0.000000,0.012082,0.012082,0.00,0.00,0.00
clickhouse,filter,"5,000,000",0.012082,0.012082,0.000000,0.012082,0.012082,0.00,0.00,0.00
clickhouse,join,"100,000",0.014842,0.014842,0.000000,0.014842,0.014842,0.00,0.00,0.00
clickhouse,join,"500,000",0.014842,0.014842,0.000000,0.014842,0.014842,0.00,0.00,0.00
clickhouse,join,"1,000,000",0.014842,0.014842,0.000000,0.014842,0.014842,0.00,0.00,0.00
clickhouse,join,"5,000,000",0.014842,0.014842,0.000000,0.014842,0.014842,0.00,0.00,0.00
clickhouse,sort,"100,000",0.038742,0.038742,0.000000,0.038742,0.038742,0.00,0.00,0.00
clickhouse,sort,"500,000",0.038742,0.038742,0.000000,0.038742,0.038742,0.00,0.00,0.00
clickhouse,sort,"1,000,000",0.038742,0.038742,0.000000,0.038742,0.038742,0.00,0.00,0.00
clickhouse,sort,"5,000,000",0.038742,0.038742,0.000000,0.038742,0.038742,0.00,0.00,0.00
collections_std,aggregate,"100,000",0.004598,0.004598,0.000000,0.004598,0.004598,0.00,0.00,0.00
collections_std,aggregate,"500,000",0.019446,0.019446,0.000000,0.019446,0.019446,0.00,0.00,0.00
collections_std,aggregate,"1,000,000",0.039168,0.039168,0.000000,0.039168,0.039168,0.00,0.00,0.00
collections_std,aggregate,"5,000,000",0.194245,0.194245,0.000000,0.194245,0.194245,0.00,0.00,0.00
collections_std,create,"100,000",0.002933,0.002933,0.000000,0.002933,0.002933,0.00,0.00,0.00
collections_std,create,"500,000",0.013276,0.013276,0.000000,0.013276,0.013276,0.00,0.00,0.00
collections_std,create,"1,000,000",0.027732,0.027732,0.000000,0.027732,0.027732,0.00,0.00,0.00
collections_std,create,"5,000,000",0.138472,0.138472,0.000000,0.138472,0.138472,0.00,0.00,0.00
collections_std,filter,"100,000",0.001355,0.001355,0.000000,0.001355,0.001355,0.00,0.00,0.00
collections_std,filter,"500,000",0.006843,0.006843,0.000000,0.006843,0.006843,0.00,0.00,0.00
collections_std,filter,"1,000,000",0.016423,0.016423,0.000000,0.016423,0.016423,0.00,0.00,0.00
collections_std,filter,"5,000,000",0.074217,0.074217,0.000000,0.074217,0.074217,0.00,0.00,0.00
csv_std,create,"100,000",0.001838,0.001838,0.000000,0.001838,0.001838,0.00,0.00,0.00
csv_std,create,"500,000",0.002383,0.002383,0.000000,0.002383,0.002383,0.00,0.00,0.00
csv_std,create,"1,000,000",0.002275,0.002275,0.000000,0.002275,0.002275,0.00,0.00,0.00
csv_std,create,"5,000,000",0.001892,0.001892,0.000000,0.001892,0.001892,0.00,0.00,0.00
