Platform ID,Status,Category,Subcategory,Version,Import Path,Error
cupy,❌ Not Available,Array Computing,Unknown,Unknown,Unknown,No module named 'cupy'
jax,✅ Available,Array Computing,JIT Compiled,0.7.0,jax,
numpy,✅ Available,Array Computing,Dense Arrays,1.26.0,numpy,
pyarrow,✅ Available,Array Computing,Columnar,14.0.1,pyarrow,
scipy,✅ Available,Array Computing,Scientific,1.15.2,scipy,
tensorflow,✅ Available,Array Computing,Tensors,2.19.0,tensorflow,
torch,✅ Available,Array Computing,Tensors,2.7.1,torch,
xarray,✅ Available,Array Computing,Labeled Arrays,2025.7.1,xarray,
cudf,❌ Not Available,DataFrame,Unknown,Unknown,Unknown,No module named 'cudf'
dask,✅ Available,DataFrame,Distributed,2025.7.0,dask.dataframe,
datatable,❌ Not Available,DataFrame,Unknown,Unknown,Unknown,"dlopen(/Users/mahdinaser/workspace/deepeval-env/lib/python3.11/site-packages/datatable/lib/_datatable.cpython-311-darwin.so, 0x0002): tried: '/Users/mahdinaser/workspace/deepeval-env/lib/python3.11/site-packages/datatable/lib/_datatable.cpython-311-darwin.so' (mach-o file, but is an incompatible architecture (have 'x86_64', need 'arm64e' or 'arm64')), '/System/Volumes/Preboot/Cryptexes/OS/Users/mahdinaser/workspace/deepeval-env/lib/python3.11/site-packages/datatable/lib/_datatable.cpython-311-darwin.so' (no such file), '/Users/mahdinaser/workspace/deepeval-env/lib/python3.11/site-packages/datatable/lib/_datatable.cpython-311-darwin.so' (mach-o file, but is an incompatible architecture (have 'x86_64', need 'arm64e' or 'arm64'))"
koalas,✅ Available,DataFrame,Spark,4.0.0,pyspark.pandas,
modin,✅ Available,DataFrame,Parallel,0.34.1,modin.pandas,
pandas,✅ Available,DataFrame,Row-oriented,2.3.1,pandas,
polars,✅ Available,DataFrame,Columnar,0.18.15,polars,
vaex,❌ Not Available,DataFrame,Unknown,Unknown,Unknown,No module named 'vaex'
catboost,✅ Available,Machine Learning,Gradient Boosting,1.2.8,catboost,
lightgbm,✅ Available,Machine Learning,Gradient Boosting,4.6.0,lightgbm,
optuna,✅ Available,Machine Learning,Hyperparameter Optimization,4.4.0,optuna,
sklearn,✅ Available,Machine Learning,General ML,1.3.1,sklearn,
statsmodels,✅ Available,Machine Learning,Statistical,0.14.5,statsmodels,
xgboost,✅ Available,Machine Learning,Gradient Boosting,3.0.2,xgboost,
clickhouse,✅ Available,SQL Engine,OLAP,0.2.9,clickhouse_driver,
duckdb,✅ Available,SQL Engine,OLAP,1.3.2,duckdb,
psycopg2,✅ Available,SQL Engine,PostgreSQL,2.9.10 (dt dec pq3 ext lo64),psycopg2,
pymongo,✅ Available,SQL Engine,NoSQL,3.11.0,pymongo,
redis,✅ Available,SQL Engine,Key-Value,5.3.1,redis,
sqlalchemy,✅ Available,SQL Engine,ORM,2.0.37,sqlalchemy,
avro,✅ Available,Serialization,Schema-based,1.12.0,avro,
h5py,✅ Available,Serialization,Scientific,3.13.0,h5py,
msgpack,✅ Available,Serialization,Binary,1.1.1,msgpack,
orjson,✅ Available,Serialization,JSON,3.10.15,orjson,
protobuf,✅ Available,Serialization,Binary,5.29.3,google.protobuf,
toml,✅ Available,Serialization,Config,0.10.2,toml,
ujson,✅ Available,Serialization,JSON,5.10.0,ujson,
yaml,✅ Available,Serialization,Human-readable,6.0.1,yaml,
cython,✅ Available,Specialized,C Extensions,3.1.2,cython,
networkx,✅ Available,Specialized,Graph Processing,3.4.2,networkx,
numba,✅ Available,Specialized,JIT Compiler,0.61.2,numba,
sympy,✅ Available,Specialized,Symbolic Math,1.14.0,sympy,
bisect_std,✅ Available,Standard Library,Binary Search,unknown,bisect,
collections_std,✅ Available,Standard Library,Data Structures,unknown,collections,
csv_std,✅ Available,Standard Library,Tabular Data,1.0,csv,
functools_std,✅ Available,Standard Library,Functional Tools,unknown,functools,
heapq_std,✅ Available,Standard Library,Priority Queue,unknown,heapq,
itertools_std,✅ Available,Standard Library,Functional Programming,unknown,itertools,
json_std,✅ Available,Standard Library,Serialization,2.0.9,json,
operator_std,✅ Available,Standard Library,Operators,unknown,operator,
pickle_std,✅ Available,Standard Library,Serialization,unknown,pickle,
sqlite3_std,✅ Available,Standard Library,Database,unknown,sqlite3,
